customer_no,total_enq_amt_x,total_enq_amt_y
1660,320000,11
1661,278900,3
1662,2796103,22
1663,6060101,52
1664,101100,6
1665,4960700,25
1666,1000,1
1667,552000,11
1668,376001,18
1669,250000,3
1670,6043301,37
1671,1222500,10
1672,182000,8
1673,4534150,42
1674,235450011,130
1675,26000,1
1676,3861000,10
1677,1476000,18
1678,1896000,15
1679,98000,4
1680,5440092,31
1681,103621110,35
1682,212777502,124
1683,1705100,19
1684,21886001,34
1685,637001,8
1686,186000,7
1687,226598988,94
1688,2807002,25
1689,511000,5
1690,81000,3
1691,251400,8
1692,472000,29
1693,4705501,25
1694,151100,5
1695,3226000,15
1696,580000,2
1697,492000,9
1698,433000,7
1699,104000,3
1700,949000,13
1701,966000,7
1702,4183047,14
1703,802500,14
1704,366000,12
1705,17119002,19
1706,0,0
1707,305010,11
1708,1502150,6
1709,112000,5
1710,3306322,25
1711,372000,7
1712,1222001,27
1713,61001,4
1714,3211000,5
1715,1498200,24
1716,4076101,55
1717,201141000,18
1718,102076000,18
1719,3318800,29
1720,51000,2
1721,1091000,14
1722,160000,3
1723,5826000,21
1724,137000,6
1725,4481100,39
1726,241100,9
1727,196000,7
1728,4826000,7
1729,63000,5
1730,161000,5
1731,1280012,20
